"dataset_id","dataset","id","x","y","point_order"
"photo_214941","photo","214941",-0.00059405804737991,1.48949445294553,1
"photo_214941","photo","214941",0.0446535487164378,1.48896917559281,2
"photo_214941","photo","214941",0.0899011554802554,1.48844389824009,3
"photo_214941","photo","214941",0.135148762244074,1.48791862088736,4
"photo_214941","photo","214941",0.180396369007892,1.48739334353464,5
"photo_214941","photo","214941",0.225643975771709,1.48686806618192,6
"photo_214941","photo","214941",0.270891582535527,1.48634278882919,7
"photo_214941","photo","214941",0.316139189299345,1.48581751147647,8
"photo_214941","photo","214941",0.361386796063163,1.48529223412375,9
"photo_214941","photo","214941",0.406634402826981,1.48476695677102,10
"photo_214941","photo","214941",0.451882009590799,1.4842416794183,11
"photo_214941","photo","214941",0.497129616354616,1.48371640206558,12
"photo_214941","photo","214941",0.542377223118434,1.48319112471285,13
"photo_214941","photo","214941",0.587624829882252,1.48266584736013,14
"photo_214941","photo","214941",0.63287243664607,1.48214057000741,15
"photo_214941","photo","214941",0.678120043409888,1.48161529265468,16
"photo_214941","photo","214941",0.723367650173705,1.48109001530196,17
"photo_214941","photo","214941",0.768615256937523,1.48056473794924,18
"photo_214941","photo","214941",0.813862863701341,1.48003946059651,19
"photo_214941","photo","214941",0.859110470465159,1.47951418324379,20
"photo_214941","photo","214941",0.904358077228977,1.47898890589106,21
"photo_214941","photo","214941",0.949605683992795,1.47846362853834,22
"photo_214941","photo","214941",0.985186283615836,1.4693099777462,23
"photo_214941","photo","214941",0.974390382277315,1.42576880134401,24
"photo_214941","photo","214941",0.942673271191719,1.39462820023018,25
"photo_214941","photo","214941",0.901268147287895,1.37690203446338,26
"photo_214941","photo","214941",0.857012001247859,1.3675760311879,27
"photo_214941","photo","214941",0.812299345825843,1.36065381864845,28
"photo_214941","photo","214941",0.767384233079781,1.35520368429746,29
"photo_214941","photo","214941",0.725530268628428,1.33991091645432,30
"photo_214941","photo","214941",0.698389971135577,1.30429075111184,31
"photo_214941","photo","214941",0.685691078567226,1.26106133011319,32
"photo_214941","photo","214941",0.676198923043317,1.21682291595668,33
"photo_214941","photo","214941",0.666160800808407,1.17271124915039,34
"photo_214941","photo","214941",0.66085712494025,1.12781693272703,35
"photo_214941","photo","214941",0.658084887492104,1.08265133980773,36
"photo_214941","photo","214941",0.65539389943107,1.03748164151319,37
"photo_214941","photo","214941",0.653551357755738,0.992269513442267,38
"photo_214941","photo","214941",0.652577872708355,0.947030020665791,39
"photo_214941","photo","214941",0.653800605777263,0.901821723592661,40
"photo_214941","photo","214941",0.659408703141003,0.856931367370915,41
"photo_214941","photo","214941",0.669050843387727,0.812797902094448,42
"photo_214941","photo","214941",0.6870917809214,0.771389139350692,43
"photo_214941","photo","214941",0.708716147108866,0.731643452237623,44
"photo_214941","photo","214941",0.729978593509666,0.691700162086493,45
"photo_214941","photo","214941",0.752262512834477,0.652344620430361,46
"photo_214941","photo","214941",0.779916777756851,0.616595209687303,47
"photo_214941","photo","214941",0.810744702718984,0.583487599746308,48
"photo_214941","photo","214941",0.844540379106126,0.553463926150761,49
"photo_214941","photo","214941",0.880995576684831,0.5266702979967,50
"photo_214941","photo","214941",0.917303072893979,0.499667677501996,51
"photo_214941","photo","214941",0.952299262211705,0.471000336713514,52
"photo_214941","photo","214941",0.984713451711007,0.439462646593565,53
"photo_214941","photo","214941",1.01740851954293,0.408218325949499,54
"photo_214941","photo","214941",1.05120962063837,0.378168719497421,55
"photo_214941","photo","214941",1.08114333239685,0.34430990546738,56
"photo_214941","photo","214941",1.1101256569103,0.309586662015933,57
"photo_214941","photo","214941",1.14129397428995,0.276795985576311,58
"photo_214941","photo","214941",1.1692740503698,0.241324775206552,59
"photo_214941","photo","214941",1.19239700838103,0.202461231965716,60
"photo_214941","photo","214941",1.21275958907968,0.162059776641726,61
"photo_214941","photo","214941",1.23461333752123,0.122462488324412,62
"photo_214941","photo","214941",1.25778432071743,0.0836039757145703,63
"photo_214941","photo","214941",1.27819534424687,0.0432255652449613,64
"photo_214941","photo","214941",1.2966735325061,0.00192783276998572,65
"photo_214941","photo","214941",1.31354365419189,-0.0400589412222221,66
"photo_214941","photo","214941",1.32822107876685,-0.0828482997593919,67
"photo_214941","photo","214941",1.34060415100702,-0.126367908862433,68
"photo_214941","photo","214941",1.35191193156764,-0.170180506116084,69
"photo_214941","photo","214941",1.36175279024043,-0.214344351335961,70
"photo_214941","photo","214941",1.36956520603485,-0.258902768408826,71
