id,url,accession_number,region_general_made,region_specific_made,technique,shape,attribution,painter_group,painter_subgroup,earliest_date,latest_date,date_range,authority,height_cm,provenance,comments
147,http://www.beazley.ox.ac.uk/record/D14F8386-5FCD-42A4-A5DC-FB4620EF6DAD,"New York (NY), market, Sotheby's  London, market, Christie's",greece_central,athens,red-figure,pelike,NA,NA,NA,-475,-425,50,BAPD,NA,NA,NA
148,http://www.beazley.ox.ac.uk/record/3143D4AE-6884-4F77-B33F-6BB76AF543DE,"London, market, Christie's ",greece_central,athens,red-figure,pelike,NA,NA,NA,-475,-425,50,BAPD,NA,NA,NA
213,http://www.beazley.ox.ac.uk/record/65CD38BE-EDB7-40AC-ADD1-021CEFE9C4CC,"Basel, Antikenmuseum und Sammlung Ludwig BS1921.328  Ticino, Athos Moretti  Basel, Antikenmuseum und Sammlung Ludwig 103.4  Basel, Antikenmuseum und Sammlung Ludwig BS496",greece_central,athens,black-figure,amphora_b,compare phrynos p,NA,NA,-575,-525,50,BAPD,NA,NA,NA
249,http://www.beazley.ox.ac.uk/record/A6F87CFB-AA8E-467A-9640-23933FDB001B,"London, market, Sotheby's ",greece_central,athens,black-figure,amphora_neck,manner of antimenes p,NA,NA,-550,-500,50,BAPD,NA,NA,NA
273,http://www.beazley.ox.ac.uk/record/4F83CF36-1E92-49B7-A738-277FA9042743,"Vienna, Kunsthistorisches Museum 3768",greece_central,athens,red-figure,lekythos_squat,NA,NA,NA,-400,-300,100,BAPD,NA,NA,NA
354,http://www.beazley.ox.ac.uk/record/0B23A33A-3C2B-4060-88F0-AC306813D1E7,"Berlin, Antikensammlung 1961.7  Vienna, private  Berlin, Schloss Charlottenburg 1961.7",greece_central,athens,black-figure,amphora_b,nettos p,NA,NA,-625,-575,50,BAPD,NA,attica,NA
390,http://www.beazley.ox.ac.uk/record/1E53E4A3-B0B0-45E1-8E7B-AA21D4719754,"Charlecote, Fairfax-Lucy ",greece_central,athens,black-figure,hydria,NA,NA,NA,-550,-500,50,NA,NA,NA,NA
462,http://www.beazley.ox.ac.uk/record/4B2E2A78-4E18-4F3B-924F-7F20B0B0CB61,"Oxford, Ashmolean Museum 1919.35",greece_central,athens,black-figure,alabastron,diosphos p,NA,NA,-525,-475,50,BAPD,NA,NA,NA
467,http://www.beazley.ox.ac.uk/record/33D553C7-6CC7-44C7-AEA7-CDD13233486C,"London, British Museum 1856.12-26.220  London, British Museum WT220",greece_central,athens,black-figure,amphora_neck,edinburgh p,NA,NA,-525,-475,50,BAPD,NA,"sicily, gela",NA
480,http://www.beazley.ox.ac.uk/record/5DBEC4FE-4AA2-4297-A9AE-EDBA75557ACB,"Athens, National Museum 450  Athens, National Museum CC688",greece_central,athens,black-figure,loutrophoros,sappho_p,NA,NA,-525,-475,50,BAPD,NA,"attica, phaleron, near",NA
